# piRNA Counts Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
#					Colch = Colchicine Treated Hydra Samples
# 
# ID - transcript name, as assigned in Siebert et al., 2019
# WT_Hyli_AS - raw Hyli antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hyli_S - raw Hyli sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_AS - raw Hywi antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_S - raw Hywi sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_AS - raw Hyli antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_S - raw Hyli sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_AS - raw Hywi antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_S - raw Hywi sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
#
#----------------------------------------------------------------------------
#
ID	WT_Hyli_AS	WT_Hyli_S	WT_Hywi_AS	WT_Hywi_S	Colch_Hyli_AS	Colch_Hyli_S	Colch_Hywi_AS	Colch_Hywi_S
t35917aep	0	0	0	0	0	0	0	0
t35900aep	0	13	0	11	0	7	0	29
t35903aep	8.05	1	87.05	6	0	7	4.05	21
t35901aep	0	0.5	5.33	0	0	0	0	0
t35902aep	22.69	0.5	110.44	0	34.98	0	1324.18	0
t35909aep	13.19	2	3.54	0	43.89	0	16.65	10.42
t35908aep	0	4	0	1	0	4	0	7
t35912aep	0	0	0	0	0	0	0	0
t35914aep	0	0	0	0	0	0	0	0
t35915aep	0	0	0	0	0	0	0	0
t35911aep	5	0	9	0	6.82	0	7.98	0
t35919aep	15.77	0	0	0	6.88	0	0	0
t35907aep	1	0	7.68	0	0	3	0	0
t35920aep	0	0	0	0	0	0	0	0
t35918aep	0	10	0	5	0	0	0	2
t35913aep	100.42	909.65	1641.59	5.84	238.54	717.32	3489.27	49.83
t32654aep	0	0	0	8.67	0	0	0	2
t33267aep	0	0	0	0	0	0	0	0
t32663aep	69.98	226.01	1786.85	27.94	112.58	58	1164.93	15
t32659aep	564.52	1658.28	17124.16	28	101.09	80	1411.39	2
t32664aep	0	1	0	26	0	11	0	10
t32660aep	0	0	0	0	0	0	0	0
t32656aep	0	0	0	0	0	0	0	0
t32658aep	0	0	0	0	0	0	0	0
t32661aep	0	0	0	0	0	0	0	0
t32655aep	6.97	0	0	1	243.29	0	50.28	42
t32662aep	0	11	0	1	0	9	0	2
t32657aep	0	0	0	0	0	0	0	0
t31841aep	0	0	0	0	0	0	0	0
t31835aep	3166.28	55	11.56	1942.29	370.12	65.65	14.35	3436.78
t31832aep	3.74	19.21	24.08	0	25.89	8.37	267.31	0
t31839aep	3660.72	0	5.38	5	47.78	0	1.95	0
t31834aep	0	0	0	0	0	0	0	0
t31833aep	0	5	0	2	0	0	0	2
t31838aep	0	12	0	51	0	50	0	24
t31840aep	0	0	0	0	0	0	0	0
t31836aep	0	6	0	5	0	8	0	1
t31831aep	0	48	0	2	0	2	0	5
t31837aep	0	0	0	0	0	0	0	0
t38104aep	0	3	0	6	0	4	0	2
t38108aep	0	8	0	210	0	34	0	1421
t38109aep	0	7	0	105	0	99	1	1656.94
t38105aep	0	0	0	0	0	0	0	0
t38107aep	0	0	0	28	0	0	0	9.97
t38111aep	0	0	0	0	0	0	0	0
t38116aep	3474.23	701.01	100.38	8505	1263.63	60.1	259.44	667.53
t38110aep	0	134	0	3	0	7	0	2
t38115aep	0	0	0	0	0	0	0	0
t38114aep	0	4	0	5	0	0	0	0
t38118aep	0	8	0	113.16	0	30	0	142.91
t38106aep	0	11	0	4	0	0	0	0
t38103aep	0	51	0	20	0	0	0	50
t38113aep	95.99	101	1416.2	0	19.99	7	432.13	0
t38112aep	2	1	1	0	0	0	5	0
t38102aep	0	687.45	17.64	0	2.98	21	747.27	0
t38117aep	0	14	0	25	0	1	0	24
t33743aep	0	34	0	25	0	0	0	17
t33742aep	0	0	0	0	0	0	0	0
t33731aep	0	0	0	0	0	0	0	0
t33739aep	17.63	2	0	0	0	0	0	0
t33737aep	0	6	22	0	0	0	4	0
t33741aep	0	14	0	6	0	0	0	0
t33740aep	0	0	0	0	0	0	0	0
t33735aep	0	19	0	18	0	17	0	23
t33736aep	0	15	0	0	0	5	1.01	0
t33730aep	0	0	0	0	0	0	0	0
t33733aep	11.15	293.56	128.39	49	592.92	33	447.73	16
t33738aep	0	0	0	0	0	0	0	1
t33732aep	12.72	934.18	227.22	5.72	0	27.47	22.85	0
t33734aep	1	56	84.36	9	0	11	107.18	0
t32697aep	33.43	54.98	1244.8	0	24.88	0	1047.87	0
t32689aep	0	0	0	3	9.98	0	22.6	0
t32686aep	0	128	0	71	0	55	0	110
t32685aep	0	1	0	4	0	0	0	1
t32698aep	0	0	0	0	0	0	0	0
t32696aep	0	0	0	1	0	0	0	0
t32692aep	0	19	0	2	0	4	0	1
t35250aep	2.41	119.27	12.98	0	100.62	12	32.97	0
t32694aep	0	0	0	0	0	0	0	0
t32693aep	0	34.99	0	86	0	30	0	98
t32695aep	0	0	0	0	0	0	0	0
t32687aep	0	398	0	11	0	18	0	1
t32691aep	0	0	0	5	0	0	0	0
t32688aep	0	0	0	0	0	0	0	4
t32690aep	0	0	0	0	0	0	0	0
t35868aep	3	0	1	0	0	0	0	0
t35856aep	23	15	140.99	0	70	245	734.9	7
t35873aep	0	1	0	5	0	0	0	3
t35871aep	0	0	0	8	0	0	0	3
t35249aep	118.08	1519.99	2777.01	11	1	157	1342.67	0
t35860aep	0	27	0	1	0	15	1.17	2
t35866aep	0	111	0	9	0	34	0	2
t35863aep	0	42	0	27	0	26	2.01	193
t35864aep	0	0	26.37	0	0	0	0	0
t35872aep	0	1.01	0	3	0	0	0	8.11
t35867aep	0	0	0	0	0	0	0	0
t35870aep	0	33	0	19	0	6	0	36.98
t35858aep	1	29	4	2	0	0	1	0
t35869aep	0	1	0	5	0	0	0	5
t35861aep	0	157.5	0	38.34	0	238.17	0	126.09
t35859aep	0	0	0	0	0	0	0	0
t35865aep	0	2.26	0	0	0	0	0	0
t35862aep	0	1	0	6	0	0	0	27
t35855aep	0	4	0	13	0	10	0	23.98
t35857aep	0	0	0	0	0	0	1	3
t35355aep	8.22	3630.47	60.33	12	24.89	140.86	878.15	2
t35359aep	1.12	380.21	0	5	81.17	4093	2713.05	5
t35357aep	0	0	0	0	0	0	0	0
t35354aep	3.51	3	5.93	1	0	0	0	0.8
t35358aep	0	0	0	0	0	0	0	0
t35360aep	0	2	1	0	0	0	0	0
t35356aep	0	0	0	0	0	6	0	3
t35353aep	0	0	0	2	0	0	0	5
t33685aep	0	0	0	0	0	0	0	0
t33686aep	0	0	0	0	0	0	0	0
t33689aep	4.03	0	0	0	0	0	0	0
t33691aep	210.85	1	0	0	0	0	0	0
t33682aep	261.42	0	0	23.75	5	0	1	0
t33692aep	0	0	0	0	0	0	0	0
t33693aep	0	0	0	0	0	0	0	0
t33690aep	0	0	0	6	0	0	0	5.29
t33684aep	0	0	0	0	0	0	0	0
t33683aep	0	0	0	0	0	0	0	0
t33687aep	0	0	0	0	0	0	0	0
t33688aep	0	0	0	0	0	0	0	0
t37366aep	0	0	0	0	0	0	0.91	0
t37371aep	0	1	0	2	0	0	0	0
t37367aep	0	0	0	0	0	0	0	0
t37374aep	0	0	0.89	0	0	0	0	0
t37381aep	0	7	0	2	0	3	0	1
t37369aep	341.16	2952.73	8355.09	41	12.24	284	369.56	3.97
t37368aep	0	0	3	4	0	0	0	0
t37370aep	1.62	0	0	0	0	0	0	0
t37380aep	0	45	0	222	0	386.82	0	440.99
