# piRNA Counts Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Identity of Transcript
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
#					Colch = Colchicine Treated Hydra Samples
# 
# ID - transcript name, as assigned in Siebert et al., 2019
# Ecto_Hyli_AS.isoforms.results - Hyli antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Ecto_Hyli_S.isoforms.results - Hyli sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Ecto_Hywi_AS.isoforms.results - Hywi antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Ecto_Hywi_S.isoforms.results - Hywi sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Ectodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hyli_AS.isoforms.results - Hyli antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hyli_S.isoforms.results - Hyli sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hywi_AS.isoforms.results - Hywi antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Endo_Hywi_S.isoforms.results - Hywi sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Endodermal tissue library and mapped to the Hydra transcriptome
# Int_Hyli_AS.isoforms.results - Hyli antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
# Int_Hyli_S.isoforms.results - Hyli sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
# Int_Hywi_AS.isoforms.results - Hywi antisense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
# Int_Hywi_S.isoforms.results - Hywi sense-mapped piRNA counts from piRNAs with perfect matches in a FACS-sorted small RNA Interstitial tissue library and mapped to the Hydra transcriptome
#----------------------------------------------------------------------------
#
"ID"	"Ecto_Hyli_AS.isoforms.results"	"Ecto_Hyli_S.isoforms.results"	"Ecto_Hywi_AS.isoforms.results"	"Ecto_Hywi_S.isoforms.results"	"Endo_Hyli_AS.isoforms.results"	"Endo_Hyli_S.isoforms.results"	"Endo_Hywi_AS.isoforms.results"	"Endo_Hywi_S.isoforms.results"	"Int_Hyli_AS.isoforms.results"	"Int_Hyli_S.isoforms.results"	"Int_Hywi_AS.isoforms.results"	"Int_Hywi_S.isoforms.results"
"6664"	"t34308aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6665"	"t34306aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6666"	"t34309aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6667"	"t34300aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6668"	"t34303aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6669"	"t34310aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6670"	"t34307aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6671"	"t33997aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6672"	"t33999aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6673"	"t33994aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6674"	"t33998aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6675"	"t33996aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6676"	"t33991aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6677"	"t33990aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6678"	"t33995aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6679"	"t33993aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6680"	"t33992aep"	0	0	0	0	1	0	0	0	1.98	0	0	0
"6681"	"t31372aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6682"	"t31369aep"	1	2	0	0	1.99	1	1.82	0	2.99	4	0	0
"6683"	"t31376aep"	161	3	36	0	142	5	15	0	257	10	272	1
"6684"	"t31375aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6685"	"t31379aep"	0	6	0	0	0	4	0	0	0	5	0	0
"6686"	"t31371aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6687"	"t31370aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6688"	"t31378aep"	437.01	9	163	0	406.62	12	184	0	687.98	19	448	0
"6689"	"t31374aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6690"	"t31373aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6691"	"t31377aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6692"	"t36668aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6693"	"t36671aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6694"	"t36676aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6695"	"t36672aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6696"	"t36674aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6697"	"t36675aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6698"	"t36667aep"	3.99	122	0	1	2.99	116	0	107	3.99	191	0	140
"6699"	"t36665aep"	18.56	0	4	0	15.53	0	0	0	23.5	0	0	0
"6700"	"t36666aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6701"	"t36677aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6702"	"t36673aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6703"	"t36670aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6704"	"t36669aep"	1.04	0	0	0	3.47	0	0	0	4.95	0	0	0
"6705"	"t36302aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6706"	"t36304aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6707"	"t36300aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6708"	"t36299aep"	0	2	0	0	0	1	0	0	0	2	0	0
"6709"	"t36298aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6710"	"t36306aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6711"	"t36303aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6712"	"t36305aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6713"	"t36301aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6714"	"t36369aep"	0	0	0	0	0	1	0	0	0	1	0	0
"6715"	"t36365aep"	5.8	1188.98	0	2200	5.35	1071.99	6.9	2707	10.19	1825.97	1.82	2951
"6716"	"t36363aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6717"	"t36367aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6718"	"t36364aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6719"	"t36362aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6720"	"t37971aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6721"	"t36371aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6722"	"t36366aep"	0	2	0	0	0	1	0	0	0	3	0	0
"6723"	"t36368aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6724"	"t36361aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6725"	"t36370aep"	0	2	0	0	0	4	0	0	0	3	0	0
"6726"	"t35178aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6727"	"t35177aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6728"	"t35176aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6729"	"t37969aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6730"	"t35171aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6731"	"t35169aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6732"	"t35170aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6733"	"t37970aep"	137.17	2	13.94	0	116	1	50.99	0	194.14	2	69.93	0
"6734"	"t35174aep"	0	1	0	0	0	3	0	0	0	4	0	0
"6735"	"t35172aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6736"	"t35173aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6737"	"t35175aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6738"	"t31967aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6739"	"t37587aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6740"	"t37583aep"	0.36	0	0	0	0.57	0	0	0	0.29	0	0	0
"6741"	"t37591aep"	325.95	1	510.94	0	299.73	1	427.99	0	513.79	1	440.98	0
"6742"	"t37582aep"	0	2	0	0	0	4	0	0	0	5	0	0
"6743"	"t37586aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6744"	"t37584aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6745"	"t37585aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6746"	"t37588aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6747"	"t37590aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6748"	"t37589aep"	17.76	34	0	0	11.83	22	0	0	20.46	46	0	42
"6749"	"t37966aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6750"	"t34170aep"	723.99	0	0.92	0	648.21	0	260.99	0	1106.13	0	38	0
"6751"	"t34166aep"	30.82	0	7.06	0	30.64	0	15	0	53.36	0	27.73	0
"6752"	"t34167aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6753"	"t34168aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6754"	"t34164aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6755"	"t34169aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6756"	"t34162aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6757"	"t34163aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6758"	"t34730aep"	126.26	0	18	0	107.08	1	24.59	0	177.71	0	23	0
"6759"	"t34165aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6760"	"t31971aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6761"	"t31692aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6762"	"t34725aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6763"	"t31690aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6764"	"t31688aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6765"	"t31686aep"	0	11	0	0	0	10	0	1	0	14	0	0
"6766"	"t31685aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6767"	"t31691aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6768"	"t31687aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6769"	"t34732aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6770"	"t31689aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6771"	"t34721aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6772"	"t35051aep"	0.95	0	0	0	0.96	0	0	0	0.93	0	0	0
"6773"	"t35044aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6774"	"t35041aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6775"	"t35052aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6776"	"t35047aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6777"	"t35049aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6778"	"t35042aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6779"	"t35045aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6780"	"t35043aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6781"	"t35048aep"	102	0	9	0	84	0	2	0	162.01	0	18	0
"6782"	"t35046aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6783"	"t35050aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6784"	"t32727aep"	0	3	0	0	0	2	0	0	0	5	0	0
"6785"	"t32733aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6786"	"t32731aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6787"	"t32730aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6788"	"t32732aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6789"	"t32729aep"	0	1	0	0	0	1	0	0	0	1	0	0
"6790"	"t32726aep"	0	0	0	0	0	0	0	0	0.59	0	0	0
"6791"	"t34731aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6792"	"t32728aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6793"	"t31674aep"	0	1	0	0	0	3	0	0	0	1	0	0
"6794"	"t31680aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6795"	"t31682aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6796"	"t31679aep"	9.05	18.99	0	6	10.65	21.99	0	0	16.51	28.99	10	12
"6797"	"t31671aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6798"	"t31675aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6799"	"t31678aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6800"	"t31670aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6801"	"t31676aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6802"	"t31684aep"	9.84	8	0	0	7.83	6	0	0	13.86	12	1.99	0
"6803"	"t31681aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6804"	"t31668aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6805"	"t31677aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6806"	"t31669aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6807"	"t31672aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6808"	"t31683aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6809"	"t31673aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6810"	"t33726aep"	186.55	17	0	0	163.56	10	124.83	0	246.89	25	152.67	36
"6811"	"t34723aep"	0	1	0	0	0	1	0	0	0	1	0	0
"6812"	"t33721aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6813"	"t33728aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6814"	"t34728aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6815"	"t33727aep"	0	1	0	0	0	0	0	0	0	1	0	0
"6816"	"t33723aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6817"	"t34726aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6818"	"t33722aep"	0	0	0	0	0	0	0	0	1	0	0	0
"6819"	"t33729aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6820"	"t33725aep"	1	0	0	0	3.03	0	0	0	3.03	0	0	0
"6821"	"t33724aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6822"	"t33720aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6823"	"t34724aep"	6.62	0	0	0	3.07	0	0	0	3.35	0	0	0
"6824"	"t37047aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6825"	"t34729aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6826"	"t37051aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6827"	"t37053aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6828"	"t37048aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6829"	"t37055aep"	11616.29	0	33485.7	0	10470.55	2	31215.4	0	18117.64	3	36499.89	3
"6830"	"t37050aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6831"	"t37052aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6832"	"t37054aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6833"	"t37049aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6834"	"t31977aep"	0	37	0	0	0	28	0	3	0	53	0	3
"6835"	"t38476aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6836"	"t38474aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6837"	"t38471aep"	52.16	0	144.69	0	44.31	0	22.16	0	70.13	0	135.27	0
"6838"	"t38477aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6839"	"t34727aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6840"	"t38472aep"	1.77	2	0	0	1.79	1	0	0	1.67	3	0	0
"6841"	"t38475aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6842"	"t38473aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6843"	"t32790aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6844"	"t32793aep"	5.04	0	0	0	5.49	0	0	0	8.97	0	3.35	0
"6845"	"t34733aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6846"	"t32794aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6847"	"t32792aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6848"	"t34722aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6849"	"t32795aep"	365	1	338	0	316	1	337	0	567.99	1	636	0
"6850"	"t32791aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6851"	"t37714aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6852"	"t37711aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6853"	"t37705aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6854"	"t37710aep"	3	0	0	0	3	0	0	0	3	0	0	0
"6855"	"t37706aep"	2	26	0	37	1	27	0	53	4	46	0	96
"6856"	"t37713aep"	0	3	0	0	0	4	0	0	0	5	0	0
"6857"	"t37712aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6858"	"t37704aep"	0	0	0	0	1	0	0	0	0	0	0	0
"6859"	"t37708aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6860"	"t37703aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6861"	"t37707aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6862"	"t37709aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6863"	"t37226aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6864"	"t37228aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6865"	"t36410aep"	0	1	0	0	0	1	0	0	0	1	0	0
"6866"	"t37225aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6867"	"t37227aep"	0.86	0	0	0	0.87	0	0	0	1.88	0.99	0	2.98
"6868"	"t36413aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6869"	"t37224aep"	0	87.75	0	3	0	70.17	0	4.55	1	121.01	0	16.39
"6870"	"t37223aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6871"	"t37222aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6872"	"t37229aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6873"	"t33889aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6874"	"t33890aep"	0	1	0	0	1	2	0	0	1	1	0	0
"6875"	"t36411aep"	0	1	0	0	0	0	0	0	0	1	0	0
"6876"	"t33892aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6877"	"t33888aep"	3.21	0	0	0	3.47	0	0	0	6.52	0	0	0
"6878"	"t33885aep"	0	0	0	0	0	0	0	0	0	1	0	0
"6879"	"t33886aep"	43.98	42	21	52	46	41	16	69	91.99	85	27	82
"6880"	"t33891aep"	0	5	0	0	0	3	0	0	0	7	0	0
"6881"	"t33887aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6882"	"t31981aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6883"	"t31384aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6884"	"t31388aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6885"	"t31382aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6886"	"t31386aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6887"	"t31383aep"	3	0	0	0	1.99	0	0	0	2.01	0	0	0
"6888"	"t31380aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6889"	"t31385aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6890"	"t31381aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6891"	"t31387aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6892"	"t33761aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6893"	"t33758aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6894"	"t33760aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6895"	"t33759aep"	11	25	7	22	11	29	0	8	13.93	46	14	54
"6896"	"t33763aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6897"	"t33764aep"	0	11	0	0	0	12	0	0	0	18	0	2
"6898"	"t36414aep"	0	28	0	15	0	35	0	17	0	48	0	31
"6899"	"t33757aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6900"	"t33756aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6901"	"t33762aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6902"	"t35036aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6903"	"t35038aep"	9.96	0	0	0	10.96	0	0	0	15.92	0	0	0
"6904"	"t35037aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6905"	"t35035aep"	0	3	0	0	0	2	0	0	0	2	0	0
"6906"	"t35040aep"	0	0	0	0	0	0	0	0	1.12	0	0	0
"6907"	"t35039aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6908"	"t36415aep"	0	4	0	0	0	7	0	0	0	9	0	0
"6909"	"t34095aep"	8.38	0	0	0	4.35	0	0	0	6.37	0	2.74	0
"6910"	"t34092aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6911"	"t34099aep"	6.54	0	0	0	6.38	0	0	0	10.84	0	0	0
"6912"	"t34093aep"	0	264	0	9	0	227	0	0	0	415	0	750
"6913"	"t34097aep"	28	507	20	959	25	456.77	14	600	41	820.5	27	1374
"6914"	"t34094aep"	22.5	4	1	0	10.31	1	0	0	26.43	4	0	0
"6915"	"t34098aep"	18.62	0	3.1	0	21.88	0	12.52	0	42.74	0	6.19	0
"6916"	"t34096aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6917"	"t31885aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6918"	"t31887aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6919"	"t31888aep"	2	0	0	0	1.99	0	0	0	3.78	0	0	0
"6920"	"t31884aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6921"	"t31886aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6922"	"t33383aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6923"	"t33381aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6924"	"t33382aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6925"	"t31968aep"	907.93	9	1299	2	795	6	983	1	1350.93	14	1952	8
"6926"	"t34048aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6927"	"t34053aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6928"	"t34054aep"	0	2	0	0	0	3	0	0	0	4	0	0
"6929"	"t34046aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6930"	"t34047aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6931"	"t34050aep"	20.39	3	0	0	17.91	0	3	0	30.96	4	12	2
"6932"	"t34052aep"	136.98	41.99	17	0	114.99	38	20	0	187.95	59	66	44
"6933"	"t34049aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6934"	"t36412aep"	90	0	10	0	79	0	19	0	120.96	0	43	0
"6935"	"t34051aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6936"	"t36956aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6937"	"t36954aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6938"	"t36957aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6939"	"t36416aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6940"	"t36955aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6941"	"t35433aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6942"	"t35431aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6943"	"t35432aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6944"	"t35434aep"	4.96	0	0	0	0.99	0	0	0	2.99	0	0	0
"6945"	"t35430aep"	1	4	0	3	1	3	0	0	1	6	0	3
"6946"	"t35429aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6947"	"t38039aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6948"	"t38035aep"	21	0	22	0	18	0	6	0	26	0	21	0
"6949"	"t38033aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6950"	"t38040aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6951"	"t38037aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6952"	"t38038aep"	0	0	0	0	0	0	0	0	0	1	0	0
"6953"	"t38036aep"	11.79	7	3	0	8.6	4	0	0	13.7	11	0	0
"6954"	"t36208aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6955"	"t38034aep"	26.99	0	0	0	19.97	0	6	0	28.98	1	18	0
"6956"	"t36212aep"	0	2	0	0	0	3.01	0	0	0	8.02	0	0
"6957"	"t36206aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6958"	"t35950aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6959"	"t35947aep"	1.52	0	0	0	0	0	0	0	0.32	0	0	0
"6960"	"t35948aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6961"	"t36218aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6962"	"t35949aep"	12	7	0	0	11	5	0	0	20	10	0	0
"6963"	"t31983aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6964"	"t31982aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6965"	"t33160aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6966"	"t33162aep"	9.99	61	0	122	8.97	66	0	23	16.94	100	0	134
"6967"	"t33161aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6968"	"t36217aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6969"	"t36210aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6970"	"t36219aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6971"	"t36209aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6972"	"t36207aep"	0	1	0	0	0	0	0	0	0	1	0	0
"6973"	"t36213aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6974"	"t36216aep"	0	5	0	0	0	4	0	0	0	6	0	0
"6975"	"t36211aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6976"	"t31973aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6977"	"t36214aep"	25.2	15	1	9	23.98	20	0	0	44.9	24	15.53	27
"6978"	"t36215aep"	0	3	0	0	0	3	0	0	0	3	0	0
"6979"	"t34780aep"	0	1	0	0	0	0	0	0	0	1	0	0
"6980"	"t34785aep"	0	0	0	0	0	0	0	0	0	1	0	0
"6981"	"t34788aep"	3.06	1	0	0	1.89	1	0	0	2.97	1	0	0
"6982"	"t34781aep"	0	2	0	0	0	2	0	0	0	3	0	0
"6983"	"t34787aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6984"	"t34786aep"	0	13	0	0	0	5	0	0	0	9	0	0
"6985"	"t34782aep"	0	1	0	0	0	1	0	0	0	1	0	0
"6986"	"t31976aep"	0	1	0	0	0	0	0	0	0	2	0	0
"6987"	"t34784aep"	0	0	0	0	0	0	0	0	0	0	0	0
"6988"	"t34783aep"	25	638.06	0	418	14	574.98	1	557	37	950.05	1	1244
"6989"	"t34789aep"	0	0	0	0	0	0	0	0	0	1	0	0
"6990"	"t32228aep"	0	0	0	0	0	0	0	0	0	0	0	0
