# piRNA Count Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Colch = Colchicine Treated Hydra Samples
#					AS = Antisense-oriented mapping
#					S = Sense-orieented mapping
#					WT = Wild Type i.e. untreated Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# WT_Hyli_AS_Counts - raw Hyli antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hyli_S_Counts - raw Hyli sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_AS_Counts - raw Hywi antisense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# WT_Hywi_S_Counts - raw Hywi sense-mapped piRNA counts from whole, untreated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_AS_Counts - raw Hyli antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hyli_S_Counts - raw Hyli sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_AS_Counts - raw Hywi antisense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# Colch_Hywi_S_Counts - raw Hywi sense-mapped piRNA counts from epithelial, colchicine-treated Hydra mapped to the Hydra transcriptome
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "WT_Hywi_AS_Counts" "WT_Hyli_AS_Counts" "WT_Hywi_S_Counts" "WT_Hyli_S_Counts" "Colch_Hywi_AS_Counts" "Colch_Hyli_AS_Counts" "Colch_Hywi_S_Counts" "Colch_Hyli_S_Counts"
"t10042aep" 0.666666666666667 6.00704225352113 0 0 4.14285714285714 0 0 0
"t10043aep" 0 2.09253246753247 0.333333333333333 0 1.65535714285714 0.383333333333333 0 0
"t10044aep" 0.920634920634921 17.9591991341991 191.333333333333 15 5.77732683982684 31.6261904761905 83 30
"t10045aep" 0.533333333333333 1.66666666666667 0 0 0.333333333333333 3.5 0 0
"t10046aep" 0.166666666666667 1.24358974358974 0 0 4.52631578947368 11 0 0
"t10047aep" 0.446078431372549 11.1118990658464 2 217 1.84011544011544 35.303300330033 12 0
"t10048aep" 3.51075268817204 2.58605812897366 1 0 9.22777777777778 17.8547008547009 1 0
"t10049aep" 0 2 4 0 0 50 0 0
"t1004aep" 1909 370.312301587302 17 199.666666666667 1353.06367521368 102.138095238095 4.33333333333333 36
"t10050aep" 1.07882352941176 8.220280995281 8 12 10.8243415152622 30.1481481481481 27 4
"t10051aep" 0.1 10.051132386797 34 22 2.98439153439153 21.8214285714286 1 0
"t10052aep" 0 1 0 0 0.259708737864078 0.0454545454545455 0 0
"t10053aep" 0.166666666666667 0 2 0 0.0416666666666667 0.4 0 0
"t10054aep" 0.235294117647059 10.25 6 0 0.3 3.66666666666667 4 0
"t10055aep" 1.28571428571429 4.05555555555556 0 0 0.342857142857143 1.66666666666667 0.5 0
"t10056aep" 1.29960317460317 4.21929824561404 2 2 1.34285714285714 2.16666666666667 0.5 0
"t10057aep" 0 0 0 0 0.333333333333333 2.33333333333333 0 0
"t10058aep" 0.5 4.21014492753623 0 0 0.5 9 0 0
"t10059aep" 0.5 0.666666666666667 0 0 0.5 0 0 0
"t1005aep" 313.666666666667 4353.0670995671 1373.5 175.5 81.4261904761905 755.917748917749 85 13.5
"t10060aep" 0.5 11.9578069533952 7 4 11.9701587301587 63.1254578754579 8 0
"t10061aep" 2.16161616161616 17.6096691448681 68 63 16.4369232802468 29.012812911726 192 46
"t10062aep" 0.233766233766234 9.24141844567541 0 0 1 2.81783216783217 0 0
"t10063aep" 1.18803418803419 0.722222222222222 0 1 3.15263157894737 148.3381311456 3 0
"t10064aep" 0.443566095740009 3.32264492753623 2 759 17.5873226983777 30.0378366350778 0 27
"t10065aep" 0 3.5109649122807 0 0 3.25050505050505 2.35606060606061 0 0
"t10066aep" 18.5 14.1984848484848 0 0 110.142857142857 4 0 0
"t10067aep" 1.99882783882784 5.89390217625512 67 7 2.35814536340852 6.12628839414554 7 11
"t10068aep" 5 9.26071428571429 0 9 64.0555555555556 0 0 9
"t10069aep" 0 2.77777777777778 0 0 0.757936507936508 15.3333333333333 0 0
"t1006aep" 439.335531135531 4553.58577672328 2678.5 209.5 100.842857142857 769.008658008658 166 13.5
"t10070aep" 0 1.36193708252532 19 0 0.00961538461538462 5.63809523809524 7 2
"t10071aep" 0.2 2.5 0 0 4 0 0 0
"t10072aep" 0.5 1 0 0 0.5625 4 0 0
"t10073aep" 1 410.5 0 0 0.45 0 0 0
"t10074aep" 0.0909090909090909 0.404761904761905 0 0 0.5 4.5 0 0
"t10075aep" 0 1.625 0 0 0 0 0 0
"t10076aep" 0 3.19583333333333 0 3 2.0922619047619 0.571428571428571 0 0
"t10077aep" 0.125 7.875 0 0 5.29188948306595 0 1 0
"t10078aep" 1.30694444444444 53.03252650679 6 5 2.37715959519238 45.8863636363636 5 6
"t10079aep" 0.05 1.49308755760369 0.5 0.5 1 0 0.5 0
"t1007aep" 194.625 13153.1095238095 41277 4322 851.967532467532 109195.201515152 2928 376
"t10080aep" 0.142857142857143 17.3333333333333 0 0 0.898737373737374 0.875 0 0
"t10081aep" 0 0.364302524604193 0 0 2.16666666666667 0 0 0
"t10082aep" 0 4.33333333333333 0 0 0.7 29 0 0
"t10083aep" 360 53.25 16 2192 29 0 0 457
"t10084aep" 1.49072104018913 3.63634616780397 2 6 4.62237246607956 7.00980392156863 2 0
"t10085aep" 0.0526315789473684 2.41821705426357 0 0 1.31578947368421 1 0 0
"t10086aep" 0.0434782608695652 11.4852941176471 0 0 2.33333333333333 0 0 0
"t10087aep" 0 1.28228021978022 0 0 2.16666666666667 0 0 0
"t10088aep" 0 17.2915310392932 3 0 4.65833333333333 0.125 4 0
"t10089aep" 0 1.5 0 0 0.325 0 0 0
"t1008aep" 1.72619047619048 16.5924690252276 4 10 39.7222222222222 36.5 5.5 0
"t10090aep" 5.51060606060606 5.08333333333333 0 0 1.58333333333333 0.285714285714286 0 0
"t10091aep" 0.0714285714285714 0 0 0 2.2 6.5 0 0
"t10092aep" 2.13333333333333 8.2 0 0 3.03703703703704 14.8571428571429 0 0
"t10093aep" 1.14285714285714 4.70833333333333 0 5 6.74475524475525 2 0 0
"t10094aep" 0 2.15384615384615 0 0 1.93376623376623 10.3818181818182 0 0
"t10095aep" 5455.34166666667 178.411236802413 0 183 124.969264069264 12.6931818181818 0 40
"t10096aep" 0.1 9.35398550724638 6 4 2.67272727272727 0.647296544035674 7 200
"t10097aep" 0.5 11.7833333333333 0 0 4.1593137254902 1.17857142857143 0 0
"t10098aep" 0.028169014084507 1.5 0 0 0.0909090909090909 5.75 0 0
"t10099aep" 1.04316239316239 10.9457722832723 119 18 3.67564935064935 2.125 109 15
"t1009aep" 1.51190476190476 18.0763445148174 16 12 3.54273504273504 13.2982142857143 27 0
"t100aep" 0 3.14365395560615 0 0 8.15595238095238 10.6982635275754 0 0
"t10100aep" 2.5 11.8253968253968 0 1 3.1 11.0297397769517 0 0
"t10101aep" 0 3 0 0 0 0 0 0
"t10102aep" 3.88257575757576 4.00877963721101 0 20 1.13826953679759 0.388415067519545 0 14
"t10103aep" 5.09090909090909 1.04761904761905 0 0 0 2 0 0
"t10104aep" 0 37 0 0 0.5 25.5 0 0
"t10105aep" 4.64285714285714 14.3888888888889 8 50 3.08515585967199 7.5 6 14
"t10106aep" 0.1 0.643589743589744 0 0 0.705102040816327 4 0 0
"t10107aep" 0 0 0 0 0 0 0 0
"t10108aep" 0.285714285714286 1.66666666666667 0 0 0.0416666666666667 0 0 0
"t10109aep" 1 0.833333333333333 0 0 0.5 0 0 0
"t1010aep" 0 0 0 0 1.07692307692308 7.5 0 0
"t10110aep" 0.142857142857143 7.69166666666667 0 0 2.50249333999334 1 0 0
"t10111aep" 1.08333333333333 1 0 0 1.06896551724138 14 0 0
"t10112aep" 0.709541563104115 1.85674194226826 3 4 1.02831144383812 16.1 4 0
"t10113aep" 0.333333333333333 0.5 0 0 0.626923076923077 0.866666666666667 0 0
"t10114aep" 0 1.33333333333333 0 0 0.608766233766234 8 0 0
"t10115aep" 0 0.103703703703704 3 0 8.28571428571429 1183.5 0 0
"t10116aep" 0.0909090909090909 0 1 0 0 34.5105263157895 0 0
"t10117aep" 0.0769230769230769 9.1491452991453 0 0 80.7611111111111 9.43333333333333 0 0
"t10118aep" 0.75 0 0 0 1.25 0 0 0
"t10119aep" 1.36666666666667 3.40126945126945 8 472 10.4344444444444 4.225 1 10
"t1011aep" 420.5 135.2 2 1138 385.833333333333 50.1764705882353 0 24
"t10120aep" 0 0 0 0 0 0 0 0
"t10121aep" 110.125 100.791666666667 0 0 114.691341991342 97.9333333333333 0 0
"t10122aep" 0.0476190476190476 2.5 0 0 0.401155533063428 79.0805555555556 0 0
"t10123aep" 30.3412698412698 58.0690563517337 0 1 1091.88040409571 150.785685425685 0 0
"t10124aep" 1 14.4726708074534 0 0 4.33333333333333 0 0 0
"t10125aep" 0.0588235294117647 0.666666666666667 0 0 1.61161616161616 5.35294117647059 0 0
"t10126aep" 0.0714285714285714 6.45 2 0 4.97619047619048 8.15 1 0
"t10127aep" 0.5 1.74329004329004 0 0 3.5 13.6666666666667 0 0
"t10128aep" 0 3.0148179030908 0 0 2.35479797979798 0.161290322580645 0 0
"t10129aep" 0 2.17777777777778 0 0 1.5 3 0 0
"t1012aep" 757.5 73.4266233766234 0.5 631 415.840909090909 42.6111111111111 0 93
"t10130aep" 1 7.15 0 0 0.333333333333333 0.777777777777778 0 0
"t10131aep" 0.380952380952381 2.23971861471861 0 0 0.166666666666667 2.61666666666667 0 0
"t10132aep" 0 0 0 0 0.5 0 0 0
"t10133aep" 0.0416666666666667 1.64285714285714 0 0 2.30658914728682 19.3452380952381 0 0
"t10134aep" 0.0833333333333333 0 0 0 10 0 0 0
"t10135aep" 0.403846153846154 22.8749245852187 75 56 17.2606732348112 13.078431372549 78 71
"t10136aep" 1.84545454545455 4.70215538847118 1 1 5.33333333333333 8.40573593073593 14 0
