# Ping Pong Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Ping_Pong = Reciprocal method of PIWI-mediated RNA destruction
#					Inverse = Ping-Pong between non-canonical PIWI pairs (i.e. Hywi S/Hyli AS)
#					Epi = Epithelial
#					Whole =  Occuring in the whole or WT Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Whole_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# Whole_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Whole_Ping_Pong" "Epi_Ping_Pong" "Whole_Ping_Pong_Inverse" "Epi_Ping_Pong_Inverse"
"97" "t10088aep" FALSE FALSE FALSE FALSE
"98" "t10089aep" FALSE FALSE FALSE FALSE
"99" "t1008aep" FALSE FALSE FALSE FALSE
"100" "t10090aep" FALSE FALSE FALSE FALSE
"101" "t10091aep" FALSE FALSE FALSE FALSE
"102" "t10092aep" FALSE FALSE FALSE FALSE
"103" "t10093aep" FALSE FALSE FALSE FALSE
"104" "t10094aep" FALSE FALSE FALSE FALSE
"105" "t10095aep" FALSE FALSE FALSE FALSE
"106" "t10096aep" FALSE FALSE FALSE FALSE
"107" "t10097aep" FALSE FALSE FALSE FALSE
"108" "t10098aep" FALSE FALSE FALSE FALSE
"109" "t10099aep" FALSE FALSE FALSE FALSE
"110" "t1009aep" FALSE FALSE FALSE FALSE
"111" "t100aep" FALSE FALSE FALSE FALSE
"112" "t10100aep" FALSE FALSE FALSE FALSE
"113" "t10101aep" FALSE FALSE FALSE FALSE
"114" "t10102aep" FALSE FALSE FALSE FALSE
"115" "t10103aep" FALSE FALSE FALSE FALSE
"116" "t10104aep" FALSE FALSE FALSE FALSE
"117" "t10105aep" FALSE FALSE FALSE FALSE
"118" "t10106aep" FALSE FALSE FALSE FALSE
"119" "t10107aep" FALSE FALSE FALSE FALSE
"120" "t10108aep" FALSE FALSE FALSE FALSE
"121" "t10109aep" FALSE FALSE FALSE FALSE
"122" "t1010aep" FALSE FALSE FALSE FALSE
"123" "t10110aep" FALSE FALSE FALSE FALSE
"124" "t10111aep" FALSE FALSE FALSE FALSE
"125" "t10112aep" FALSE FALSE FALSE FALSE
"126" "t10113aep" FALSE FALSE FALSE FALSE
"127" "t10114aep" FALSE FALSE FALSE FALSE
"128" "t10115aep" FALSE FALSE FALSE FALSE
"129" "t10116aep" FALSE FALSE FALSE FALSE
"130" "t10117aep" FALSE FALSE FALSE FALSE
"131" "t10118aep" FALSE FALSE FALSE FALSE
"132" "t10119aep" FALSE FALSE FALSE FALSE
"133" "t1011aep" FALSE FALSE FALSE FALSE
"134" "t10120aep" FALSE FALSE FALSE FALSE
"135" "t10121aep" FALSE FALSE FALSE FALSE
"136" "t10122aep" FALSE FALSE FALSE FALSE
"137" "t10123aep" FALSE FALSE FALSE FALSE
"138" "t10124aep" FALSE FALSE FALSE FALSE
"139" "t10125aep" FALSE FALSE FALSE FALSE
"140" "t10126aep" FALSE FALSE FALSE FALSE
"141" "t10127aep" FALSE FALSE FALSE FALSE
"142" "t10128aep" FALSE FALSE FALSE FALSE
"143" "t10129aep" FALSE FALSE FALSE FALSE
"144" "t1012aep" FALSE FALSE FALSE FALSE
