# Differential Gene Expression Count Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Transcript Identification
#					WT = Wild-type Hydra
#					KD = Somatic hywi Knockdown Hydra
#
# ID - transcript name, as assigned in Siebert et al., 2019
# WT1 - Counts from WT1 replicate
# WT2 - Counts from WT2 replicate
# WT3 - Counts from WT3 replicate
# KD1 - Counts from KD1 replicate
# KD2 - Counts from KD2 replicate
# KD3 - Counts from KD3 replicate
#
#----------------------------------------------------------------------------
#					
""	"ID"	"WT1"	"WT2"	"WT3"	"KD1"	"KD2"	"KD3"
"6256"	"t15629aep"	572.99	457.24	494.74	676	437.12	548.6
"6257"	"t1562aep"	5194.74	7035.05	6816.91	6633.37	7305.96	6844.23
"6258"	"t15630aep"	17	17	18	23	17	19
"6259"	"t15631aep"	1389.62	1120.26	925.71	1650.3	1016.08	1002.06
"6260"	"t15632aep"	65.36	52.19	26	53.96	37.93	48.89
"6261"	"t15633aep"	3.79	4.01	2.22	10.98	6	5
"6262"	"t15634aep"	67.96	95.12	51.77	105.89	93.65	115.65
"6263"	"t15635aep"	38779.34	29005.37	27322.79	43527.8	27402.61	26440.63
"6264"	"t15636aep"	31.26	19	22.59	56.41	27.28	16.8
"6265"	"t15637aep"	275.11	327	252.96	445.52	329.98	337
"6266"	"t15638aep"	1013	1177.01	1129.87	1256.27	1118.9	1336.02
"6267"	"t15639aep"	30	18	25	30	18	29
"6268"	"t1563aep"	353.82	425.08	571.89	417.7	457.13	474.13
"6269"	"t15640aep"	388.87	308.61	348	502.01	309	376.81
"6270"	"t15641aep"	477.01	549.2	472	578	516	524
"6271"	"t15642aep"	776	1225.27	871	1017	1155.61	954
"6272"	"t15643aep"	0	0	0	0	0	0
"6273"	"t15644aep"	2	2.25	2	2	3	4
"6274"	"t15645aep"	678	871.01	597	745	735.01	823
"6275"	"t15646aep"	376	620.83	579.15	551.03	626.08	643
"6276"	"t15647aep"	16	21	13	35	15	25.07
"6277"	"t15648aep"	0	0	0	0	0	0
"6278"	"t15649aep"	9.4	4.98	3	5.82	6.35	3.96
"6279"	"t1564aep"	49.18	42.23	42.11	76.3	41.87	65.87
"6280"	"t15650aep"	5.07	10.23	1	5.8	4	8.89
"6281"	"t15651aep"	893.49	768.72	623	1258.02	828	973.02
"6282"	"t15652aep"	90	90.96	68	105	88	105
"6283"	"t15653aep"	0	0	0	0	0	0
"6284"	"t15654aep"	0	0	0	0	0	0
"6285"	"t15655aep"	10.81	5.49	6.49	9.21	15.89	22.38
"6286"	"t15656aep"	324.19	339.52	240.5	428.79	356.11	345.62
"6287"	"t15657aep"	0	0	0	0	0	0
"6288"	"t15658aep"	1916	2876.83	2695.15	2306.03	2527.92	2581
"6289"	"t15659aep"	9.62	6.13	21.57	7.35	13.43	8.28
"6290"	"t1565aep"	0	0	0	0	0	0
"6291"	"t15660aep"	31.99	29.02	25	49	33.28	36
"6292"	"t15661aep"	2	5	2	5	6	2
"6293"	"t15662aep"	643	488	475.78	827	591.85	687.58
"6294"	"t15663aep"	0	0	0	0	0	0
"6295"	"t15664aep"	814	1084	889	1083	972.96	992.67
"6296"	"t15665aep"	791	755.86	599.17	1291	760.69	829
"6297"	"t15666aep"	0	0	0	0	0	0
"6298"	"t15667aep"	383.58	732	579.95	688.99	723	729.99
"6299"	"t15668aep"	4311.49	5293.12	4795.01	4509.92	5099.9	4718.95
"6300"	"t15669aep"	473.11	529	565	498	506	569
"6301"	"t1566aep"	903.04	1107	881	1199.04	1046	1088.36
"6302"	"t15670aep"	6	5	0	1	1	2
"6303"	"t15671aep"	31	42	23.98	51.8	69.5	40
"6304"	"t15672aep"	9	6	4	7.2	11.46	9
"6305"	"t15673aep"	152.02	187	201.41	173	170	197.14
"6306"	"t15674aep"	167.99	396.97	268.01	297	338.21	356
"6307"	"t15675aep"	12	9	5	15	11	10
"6308"	"t15676aep"	0	0	0	0	0	0
"6309"	"t15677aep"	2.99	2	1	1.88	1.99	4.95
"6310"	"t15678aep"	0	0	0	0	0	0
"6311"	"t15679aep"	1513.63	2481.72	2028.36	1649.23	2074.16	2149.23
"6312"	"t1567aep"	0	0	0	0	0	0
"6313"	"t15680aep"	13	6.37	3.19	8.17	9.56	3.19
"6314"	"t15681aep"	0	6.63	2.81	12.83	8.44	6.81
"6315"	"t15682aep"	13949.01	16744.08	16309.89	17850.12	16784.95	15735.25
"6316"	"t15683aep"	0	0	0	0	0	0
"6317"	"t15684aep"	0	0	0	0	0	0
"6318"	"t15685aep"	0	0	0	0	0	0
"6319"	"t15686aep"	0	0	0.55	3.34	3.29	0
"6320"	"t15687aep"	1024.98	1542.67	1217.06	1331.89	1445.03	1379.7
"6321"	"t15688aep"	8	2	2.03	11	2	2
"6322"	"t15689aep"	348	372	373	376	373	320
"6323"	"t1568aep"	472.29	588.7	501.22	664.94	590.27	659.45
"6324"	"t15690aep"	393.99	416.41	402.99	513.92	421.3	479.02
"6325"	"t15691aep"	0	0	0	0	0	0
"6326"	"t15692aep"	4	7.01	4	2	3.02	7.19
"6327"	"t15693aep"	32	12	18	18	19	34
"6328"	"t15694aep"	447	382	304.77	668.61	330	395
"6329"	"t15695aep"	93	134	88	160	153	115
"6330"	"t15696aep"	5	7.82	13	7	7	9
"6331"	"t15697aep"	2	3	0	1	2	2
"6332"	"t15698aep"	1088.49	1028	1309.49	1268.5	1127	1267.55
"6333"	"t15699aep"	1276.01	1352.82	1280.99	1586.17	1353.62	1471
"6334"	"t1569aep"	3.38	2.06	2	7.68	4.98	6.37
"6335"	"t156aep"	3	8	1	3	7	8.12
"6336"	"t15700aep"	2261	3035.14	2767.1	2559.02	2897.5	2917.28
"6337"	"t15701aep"	0	0	0	0	0	0
"6338"	"t15702aep"	1757	1756	1693	1922	1795	1940.08
"6339"	"t15703aep"	2789.99	4068	3338	3483.38	4015.96	3378.11
"6340"	"t15704aep"	1	1	2	3	0	1
"6341"	"t15705aep"	1623.38	1522.58	1203	2190.12	1516.79	1842.32
"6342"	"t15706aep"	271.01	361.94	393.02	284	366	363
"6343"	"t15707aep"	3616.26	4965.87	4806.06	4109.87	4932.16	4443.05
"6344"	"t15708aep"	169.75	203.52	195.25	230.05	206.34	227.72
"6345"	"t15709aep"	6.29	19.97	0	7.04	12.29	2.62
"6346"	"t1570aep"	1466.61	1931.09	1952.13	1853.99	1806.87	2005.4
"6347"	"t15710aep"	4.71	0	5	3.03	2.71	2.38
"6348"	"t15711aep"	2	1	2	1	3	2
"6349"	"t15712aep"	537.55	756	730	637	666	674.4
"6350"	"t15713aep"	458.01	656.26	657	385	451.97	656
"6351"	"t15714aep"	41	28	40	48	45	42
"6352"	"t15715aep"	751.32	1041.84	1055.16	954.01	945.38	1100.57
"6353"	"t15716aep"	0	0	0	0	0	0
"6354"	"t15717aep"	68	77	62	84	85	69
"6355"	"t15718aep"	282	278	313	337	252.59	396
"6356"	"t15719aep"	0	0	0	0	0	0
"6357"	"t1571aep"	4.07	1	1	3.67	4.9	3
"6358"	"t15720aep"	539	734	624	672.04	783.74	704.94
"6359"	"t15721aep"	25555.46	40601.13	52178.37	25968.51	34930.98	46580.05
"6360"	"t15722aep"	0	2	0	1	0	0
"6361"	"t15723aep"	492	810.72	776.69	639.64	773	706.96
"6362"	"t15724aep"	2671	3262.01	3131.93	3250	3228.3	2786.99
"6363"	"t15725aep"	0	0	0	0	0	0
"6364"	"t15726aep"	0	0	0	0	0	0
"6365"	"t15727aep"	1616.3	2356	2254.93	2076	2187.91	2282.12
"6366"	"t15728aep"	0	0	0	0	0	0
"6367"	"t15729aep"	0	0	0	0	0	0
"6368"	"t1572aep"	2	0	2	4	4	3
"6369"	"t15730aep"	0	0	0	0	0	0
"6370"	"t15731aep"	846.93	931	1004.91	1092	938	1163
"6371"	"t15732aep"	0	0	0	0	0	0
"6372"	"t15733aep"	2792	4144	4443.95	3024	3910.96	3926.8
"6373"	"t15734aep"	2645	3385	3090.05	3033	3197.01	3064.78
"6374"	"t15735aep"	4	6	1	5	2	4
"6375"	"t15736aep"	1364	2853.8	2866.28	1550	2555	2549.85
"6376"	"t15737aep"	107	133	204	86	137	140
"6377"	"t15738aep"	0	0	0	0	0	0
"6378"	"t15739aep"	0	3	1	3.97	1	1.84
"6379"	"t1573aep"	31	34	15	48	28	28
"6380"	"t15740aep"	6282.72	7399.68	7141.6	9333.38	7250.41	6821.91
"6381"	"t15741aep"	872.06	1107	1074	1060	1149	1074.97
"6382"	"t15742aep"	0	0	0	1	0	0
"6383"	"t15743aep"	1259.93	1513.74	1640.8	1412.87	1449.68	1595.84
"6384"	"t15744aep"	3	5	2	4	7	5
"6385"	"t15745aep"	5	1	5	5	4	3
"6386"	"t15746aep"	0	0	0	0	0	0
"6387"	"t15747aep"	1638.18	2027.84	1595	1925.21	1975.5	2102.74
"6388"	"t15748aep"	0	0	0	0	0	0
"6389"	"t15749aep"	0	0	0	0	0	0
"6390"	"t1574aep"	0	0	0	0	0	0
"6391"	"t15750aep"	5528.29	7120.51	6891.88	6684.01	6755.54	6641.99
"6392"	"t15751aep"	28	36	39	44	60	36
"6393"	"t15752aep"	289	402.97	401.83	360.82	362.85	377.94
"6394"	"t15753aep"	13	4	5	19	12	13
"6395"	"t15754aep"	0	0	0	0	0	0
"6396"	"t15755aep"	0	0	0	0	0	0
"6397"	"t15756aep"	0	0	0	0	0	0
"6398"	"t15757aep"	2	0	1	2	2	0
"6399"	"t15758aep"	13	15	15	21.01	18.15	18
"6400"	"t15759aep"	14	8	8	19	10.86	18.18
"6401"	"t1575aep"	0	0	0	0	0	0
"6402"	"t15760aep"	139.44	115.82	115.96	197.01	123.86	154.07
"6403"	"t15761aep"	45.22	58.72	27.45	52.55	62.13	53.68
"6404"	"t15762aep"	105	117	51	150	125.91	126.13
"6405"	"t15763aep"	382	499.6	337.56	1370.99	733	535.72
"6406"	"t15764aep"	645.94	704.92	718.5	802.14	779.05	835.88
"6407"	"t15765aep"	75	63	46	109	85	84.22
"6408"	"t15766aep"	92.6	86.76	81	131.75	88.56	134.06
"6409"	"t15767aep"	12.41	6.36	9.01	11.67	16.74	10.68
"6410"	"t15768aep"	4.59	10.03	6.22	11.33	6.26	10.29
"6411"	"t15769aep"	1046	838.01	705	1482	1012	1175
"6412"	"t1576aep"	7	4	7	8	7	10
"6413"	"t15770aep"	1101.33	1190	951.28	1425.47	1145.11	1295.99
"6414"	"t15771aep"	797	775	572	1128	778	846.11
"6415"	"t15772aep"	9	12	7	8	12	10
"6416"	"t15773aep"	2.7	10.18	4.52	10.56	5.31	9.54
"6417"	"t15774aep"	10	0	1	29	1	0
"6418"	"t15775aep"	248.69	196.86	215.49	413.68	245.86	223.65
"6419"	"t15776aep"	48	68.93	58.94	72	60	82
"6420"	"t15777aep"	452.66	587.47	607.98	630.99	606.95	638.81
"6421"	"t15778aep"	5.27	17.4	7.81	13.93	16.06	9.22
"6422"	"t15779aep"	0	0	0	0	0	0
"6423"	"t1577aep"	0	0	0	0	0	0
"6424"	"t15780aep"	0	10.24	8.06	6.98	20.59	4.55
"6425"	"t15781aep"	17	22.07	10	39	26	24
"6426"	"t15782aep"	276.65	231.07	195	356.03	236.87	310.02
"6427"	"t15783aep"	37.07	32.33	17.58	67.18	24.64	34.67
"6428"	"t15784aep"	762.98	799	530	1093.27	768	619
"6429"	"t15785aep"	399.03	336	254	627.07	374.16	432.07
"6430"	"t15786aep"	19.58	21.03	22.26	18.48	17.65	31.23
"6431"	"t15787aep"	51.05	59.58	44.77	86.68	65.38	70.04
"6432"	"t15788aep"	77.81	97.54	77.23	87.88	78.92	111.07
"6433"	"t15789aep"	73.13	130.32	70.51	100.3	86.62	114.17
"6434"	"t1578aep"	407	605	504	572	528	576
"6435"	"t15790aep"	9	8	5	15	14	5
"6436"	"t15791aep"	4.17	0	7.36	25.59	13.17	14.03
"6437"	"t15792aep"	2	2	6	2	2	4
"6438"	"t15793aep"	0	0	0	0	0	0
"6439"	"t15794aep"	9	7.62	6.01	16.92	7.63	9.99
"6440"	"t15795aep"	43.83	59.77	56.07	80.06	63.28	57.08
"6441"	"t15796aep"	234	296.35	286	346.07	292.97	271
"6442"	"t15797aep"	22.36	24	11	37.01	28	24
"6443"	"t15798aep"	26.01	21.01	10.84	27.11	23.19	23.73
"6444"	"t15799aep"	9.99	6.63	4	6	4	1
"6445"	"t1579aep"	0	0	0	0	0	0
"6446"	"t157aep"	0	0	0	0	0	0
"6447"	"t15800aep"	110	62.99	50	149.01	77	94
"6448"	"t15801aep"	82.86	43.44	31.15	112.11	43.22	43.64
"6449"	"t15802aep"	196.66	113.19	111.81	242.9	100.09	159.97
"6450"	"t15803aep"	18.34	3.81	1.97	37.1	7.91	17.03
"6451"	"t15804aep"	245.85	280	204.23	359.3	306	323
"6452"	"t15805aep"	229.34	68.93	66.83	857.14	288.28	184.77
"6453"	"t15806aep"	195.8	240.05	231.17	234.66	264.26	222.2
"6454"	"t15807aep"	83.73	124.02	97.88	112.04	122.87	85.34
"6455"	"t15808aep"	185.57	136.45	106.6	214.49	187.98	217.97
"6456"	"t15809aep"	48.65	36.22	34.33	47.71	48.16	74.03
"6457"	"t1580aep"	4	3	0	5	3	6
"6458"	"t15810aep"	15.25	12.58	4.75	18.73	9.87	13.31
"6459"	"t15811aep"	14.49	19.98	6.72	13.67	16.8	21.15
"6460"	"t15812aep"	15.99	17.42	16.56	23.23	19.26	32.51
"6461"	"t15813aep"	0	16.96	2.58	5.31	7.36	6.16
"6462"	"t15814aep"	60	62	36	111	79	95
"6463"	"t15815aep"	307	199.95	110.62	324.49	231.58	170.5
"6464"	"t15816aep"	2497.37	1989.71	1360.47	2117.72	1620.91	1797.84
"6465"	"t15817aep"	55.85	82.02	86.06	92.73	114.18	85.01
"6466"	"t15818aep"	17533.13	13309.37	13254.96	21073.51	10354.2	18551.51
"6467"	"t15819aep"	4	8	3	7	6	6
"6468"	"t1581aep"	138	212	228	178	216	181
"6469"	"t15820aep"	51.07	51.1	58.46	103.1	64.28	69.48
"6470"	"t15821aep"	12.16	13.87	5.03	27.76	5.85	12.43
"6471"	"t15822aep"	108.36	131.38	117.45	119.41	120.63	167.22
"6472"	"t15823aep"	16.72	24.75	11.94	25.98	9.1	22.94
"6473"	"t15824aep"	15.37	6.42	11.98	27.12	16.41	19.73
"6474"	"t15825aep"	4894.2	6074.01	4257	7243.58	7622.07	7585.79
"6475"	"t15826aep"	489.98	645	676	646.01	601	585
"6476"	"t15827aep"	5512.97	7400.41	4692.26	7580.68	6353.4	7344.42
"6477"	"t15828aep"	41	41	32	64	26.01	42.04
"6478"	"t15829aep"	12.54	6.58	6.77	6.85	11.01	16.86
"6479"	"t1582aep"	3	5	3	17	2	6
"6480"	"t15830aep"	1.28	6.83	11.33	8.48	7.89	8.97
"6481"	"t15831aep"	2250.97	1660.05	1664.22	3326.83	1871.42	1688.37
"6482"	"t15832aep"	5	9.65	4	10.26	7.89	7
"6483"	"t15833aep"	0	2	1	0	1	0
"6484"	"t15834aep"	19.78	13.56	17.39	39.65	25.68	15.01
"6485"	"t15835aep"	23.61	12.85	8.16	25.28	22.38	17.99
"6486"	"t15836aep"	4211.39	3588.1	3767.26	4571.55	3491.28	3211.14
"6487"	"t15837aep"	7.87	17.79	9.55	3.55	11.85	10.32
"6488"	"t15838aep"	17.51	15.99	12.29	35.2	23.54	12.94
"6489"	"t15839aep"	238.81	173.14	189.76	351.56	185.11	212.41
"6490"	"t1583aep"	1.79	2	1	3	0	0
"6491"	"t15840aep"	14	12	9	21	14	28
"6492"	"t15841aep"	243	243	193	304	216	247.98
"6493"	"t15842aep"	42.86	29.43	42.26	85.24	39.48	68.74
"6494"	"t15843aep"	5	1.11	2.1	23.99	10	3.18
"6495"	"t15844aep"	455	482.49	408	2232	1132.36	606
"6496"	"t15845aep"	33	42.67	25.97	50	40	38
"6497"	"t15846aep"	5.23	11.32	0	7.78	9.39	13.67
"6498"	"t15847aep"	15.13	13.6	8.56	22.19	9.57	9.89
"6499"	"t15848aep"	2432.37	2017.67	1707.94	2592.96	2012.6	2028.9
"6500"	"t15849aep"	411.82	536.67	551.98	477.68	596.52	624.12
"6501"	"t1584aep"	0	0	0	0	0	0
"6502"	"t15850aep"	711	837.04	732.69	987.05	794	897
"6503"	"t15851aep"	73.15	60.19	39.38	173.21	83.06	61.63
"6504"	"t15852aep"	16.51	30.12	30.02	51.76	33.14	46.99
"6505"	"t15853aep"	30.97	19.84	16.06	33.71	19.5	26.42
"6506"	"t15854aep"	46.6	46.5	28.23	95.17	72.77	50.15
"6507"	"t15855aep"	22.25	22.86	19.26	34.26	29.57	27.21
"6508"	"t15856aep"	0	0	0	0	0	0
"6509"	"t15857aep"	1	1	0	3	1	1
"6510"	"t15858aep"	412	509	551	441	500	456.13
"6511"	"t15859aep"	0	0	0	0	0	0
"6512"	"t1585aep"	0	0	0	0	0	0
"6513"	"t15860aep"	846.87	1200.18	978.66	1104.03	1049.9	1138.81
"6514"	"t15861aep"	6	5	3	2.53	3	9
"6515"	"t15862aep"	0	0	0	0	0	0
"6516"	"t15863aep"	843	901.98	770.08	1145.99	975.86	968
"6517"	"t15864aep"	205	331	311.95	283	292	271
"6518"	"t15865aep"	0	0	0	0	0	0
"6519"	"t15866aep"	0	0	0	0	0	0
"6520"	"t15867aep"	0	0	0	0	0	0
"6521"	"t15868aep"	38.9	47.97	52.77	62.33	66.68	50.18
"6522"	"t15869aep"	0	0	0	0	0	0
"6523"	"t1586aep"	0	0	0	0	0	0
"6524"	"t15870aep"	0	0	0	0	0	0
"6525"	"t15871aep"	1	1	1	2	2	7
"6526"	"t15872aep"	0	0	0	0	0	0
"6527"	"t15873aep"	10	21	10	20	12	21
"6528"	"t15874aep"	1	2	1	2	2	0
"6529"	"t15875aep"	1	0	0	0	0	0
"6530"	"t15876aep"	1	1	2	4	0	3
"6531"	"t15877aep"	0	2	0	1	0	1
"6532"	"t15878aep"	0	0	0	0	0	0
"6533"	"t15879aep"	315	383	403.82	378	401	467
"6534"	"t1587aep"	3	3	0	4	2	2
"6535"	"t15880aep"	0	0	0	0	0	0
"6536"	"t15881aep"	0	0	0	0	0	0
"6537"	"t15882aep"	1262	1465.96	1519.04	1505.72	1372	1584.08
"6538"	"t15883aep"	397.96	331	309	432	344	372.11
"6539"	"t15884aep"	9.8	8	2	4	5	3.46
"6540"	"t15885aep"	6.94	4	3	4	6	7.01
"6541"	"t15886aep"	1122.05	1457.21	1475.47	1407.83	1423.97	1442.95
"6542"	"t15887aep"	219	243	252	261	249	238
"6543"	"t15888aep"	1290	1885	1412	1652.01	1712.98	1752
"6544"	"t15889aep"	2738.58	3726.01	3826.68	2607.96	3558.61	3542.33
"6545"	"t1588aep"	18	8	14	21	8	14
"6546"	"t15890aep"	3.21	3.86	9.19	9.94	10.03	12.43
"6547"	"t15891aep"	20	22	30	23	32	25
"6548"	"t15892aep"	11.92	7.54	7.52	19.66	12.72	12.78
"6549"	"t15893aep"	945.1	1191.01	892.01	1248.53	1112.43	1204.3
"6550"	"t15894aep"	1479.96	1798.11	1777.86	1971.43	1836	1891.84
"6551"	"t15895aep"	1621.28	2019.28	1697.12	2451.45	2102.95	2107.67
"6552"	"t15896aep"	595	606.01	574.23	978	621	562
"6553"	"t15897aep"	43.46	30.17	18.78	68.43	37.3	74.09
"6554"	"t15898aep"	106.18	91	108.03	126.19	116.09	120.98
"6555"	"t15899aep"	42	50	43	66	50	51
"6556"	"t1589aep"	0	0	0	0	0	0
"6557"	"t158aep"	14.21	15.53	8.71	16.18	7.2	12.24
"6558"	"t15900aep"	226	212	224.05	427	211	390
"6559"	"t15901aep"	0	0	0	0	0	0
"6560"	"t15902aep"	0	0	0	0	0	0
"6561"	"t15903aep"	68	118	137	100.98	106	120
"6562"	"t15904aep"	3.97	2.81	1	7	1	4.71
"6563"	"t15905aep"	1166.08	981.57	679	1649.47	968.99	1158
"6564"	"t15906aep"	18785.37	27021.11	20751.4	22340.21	26581.79	26632.28
"6565"	"t15907aep"	2	3	5	6	1	3
"6566"	"t15908aep"	8.72	13.78	5.25	27.81	22.43	17.8
"6567"	"t15909aep"	114.98	190	196	137	137	169
"6568"	"t1590aep"	0	0	0	0	0	0
"6569"	"t15910aep"	0	0	0	0	0	0
"6570"	"t15911aep"	0	0	0	0	0	0
"6571"	"t15912aep"	1	1.88	2	1	2.55	6.01
"6572"	"t15913aep"	0	1	0	0	1	0
"6573"	"t15914aep"	490	473.98	486	631	521.03	495
"6574"	"t15915aep"	384	487	517.93	459.68	446	512
"6575"	"t15916aep"	232	277	193	351.53	353	232
"6576"	"t15917aep"	313	452.12	456.79	578.99	517	514
"6577"	"t15918aep"	560	670	639	733.05	621.44	598.72
"6578"	"t15919aep"	27.11	29.08	31.08	40	18.84	29.01
"6579"	"t1591aep"	2	1	2	4	1	4
"6580"	"t15920aep"	0.79	2	0	0	0	3
"6581"	"t15921aep"	1.21	0	0	1.43	1	0
"6582"	"t15922aep"	63.27	82.14	93	82	74	92.13
"6583"	"t15923aep"	3496.32	2407.99	2371.44	5143.62	2524.07	4020.77
"6584"	"t15924aep"	0	0	0	1	0	0
"6585"	"t15925aep"	11	13	16	16	5	12
"6586"	"t15926aep"	52	66	47.97	59	63	48
"6587"	"t15927aep"	0	0	0	1	0	1
"6588"	"t15928aep"	0	0	0	0	0	0
"6589"	"t15929aep"	3188.01	3196	2191	3814.41	3008.92	3606.7
"6590"	"t1592aep"	8	5	4	2	11	2
"6591"	"t15930aep"	169	264	218.23	257	206	287
"6592"	"t15931aep"	640	660	387	1007.85	796	680
"6593"	"t15932aep"	13335.26	18684.04	17364.62	14398.84	18249.52	18497.81
"6594"	"t15933aep"	2134.09	2515.01	2632.94	2357.65	2359.76	2611.32
"6595"	"t15934aep"	1506	1974.9	2000.62	1671	1709.99	2027
"6596"	"t15935aep"	81	67	71	85	80	67
"6597"	"t15936aep"	1742	2447	2585.61	2201	2409.91	2192.18
"6598"	"t15937aep"	0	0	0	0	0	0
"6599"	"t15938aep"	5	1	1	1	1	2
"6600"	"t15939aep"	6	5	4	4	3	8
"6601"	"t1593aep"	0	0	0	0	0	0
"6602"	"t15940aep"	0	0	0	0	0	0
"6603"	"t15941aep"	0	0	0	0	0	0
"6604"	"t15942aep"	6501.93	8535.97	8460.27	7569.97	8067	7726.97
"6605"	"t15943aep"	0	0	0	0	0	0
"6606"	"t15944aep"	7521.06	12459.11	11940.04	8841.42	11532.98	12528.1
"6607"	"t15945aep"	7191.05	8842.95	8517.16	8165.88	8352.77	8860.85
"6608"	"t15946aep"	0	0	0	0	0	0
"6609"	"t15947aep"	578	894.28	847	650	832	783
"6610"	"t15948aep"	452	567	491	596	566	504.99
"6611"	"t15949aep"	0	0	0	0	0	0
"6612"	"t1594aep"	192	227.84	222	204	220.54	188
"6613"	"t15950aep"	1287.98	1835.79	1817.97	1523.14	1775.86	1670.99
"6614"	"t15951aep"	0	0	0	0	0	0
"6615"	"t15952aep"	447	538.29	461	603	497	536
"6616"	"t15953aep"	295	456	506	281	385	389.45
"6617"	"t15954aep"	0	0	0	0	0	0
"6618"	"t15955aep"	2.65	7	2.65	6	2.66	7.95
"6619"	"t15956aep"	2210.98	2887.97	2486	2729.53	2875.8	3040
"6620"	"t15957aep"	234	309	306	226	265	305.54
"6621"	"t15958aep"	0	0	0	0	0	0
"6622"	"t15959aep"	1229.99	1701.98	1562.99	1683.43	1591	1643
"6623"	"t1595aep"	4	0	2	2	1	0
"6624"	"t15960aep"	1913.01	2702.86	2201.39	2628	2551.84	2356.08
"6625"	"t15961aep"	800	1180.11	1255.01	1132	1188.38	1150
"6626"	"t15962aep"	5	13	4	12	10	11
"6627"	"t15963aep"	621	729	678	837	772.78	684
"6628"	"t15964aep"	309	433	413	422	400.99	415
"6629"	"t15965aep"	4	4	0	11	3	4
"6630"	"t15966aep"	12	15	14	11	14	11
"6631"	"t15967aep"	537	736	776	626	720	636
"6632"	"t15968aep"	0	0	0	0	0	0
"6633"	"t15969aep"	629.24	702	664	788	713	770
"6634"	"t1596aep"	1229.24	1496	1483.01	1464	1396.82	1355.96
"6635"	"t15970aep"	0	0	0	0	0	0
"6636"	"t15971aep"	0	0	0	0	0	0
"6637"	"t15972aep"	391.99	429	360	401	368	378
"6638"	"t15973aep"	5	3	5	3.95	2	1.98
"6639"	"t15974aep"	1	0	2	3	4	2
"6640"	"t15975aep"	21	26	16	23	20	23
"6641"	"t15976aep"	3731.42	4940.82	4162.99	4400.67	4500.99	4582.97
"6642"	"t15977aep"	10525.96	16005.57	14553.79	13068.19	15649.56	14629.99
"6643"	"t15978aep"	2	0	0	2	1	2
"6644"	"t15979aep"	1480.82	1932.93	2020.88	1191	1648.13	1765.84
"6645"	"t1597aep"	15	36	43	23	44	27
"6646"	"t15980aep"	1571.1	1693	1442	1932.33	1766	1887
"6647"	"t15981aep"	884	1245	1055	1202.02	1187.34	1160
"6648"	"t15982aep"	4	1	2	5	5	2
"6649"	"t15983aep"	989	1429	1595	1162	1315.7	1324
"6650"	"t15984aep"	1778.24	2661	2415	2185.95	2335.04	2578
"6651"	"t15985aep"	1024.41	1595	1433	1244	1531.03	1422.97
"6652"	"t15986aep"	1437	1466	1133	1680	1464	1788.97
"6653"	"t15987aep"	0	0	0	0	0	0
"6654"	"t15988aep"	0	0	0	0	0	0
"6655"	"t15989aep"	2153	2742.04	2428.26	2783.03	2519.38	2758.02
"6656"	"t1598aep"	0	0	0	0	0	0
"6657"	"t15990aep"	574	704	758	688.08	765	778.98
"6658"	"t15991aep"	2	2	0	4	3	5
"6659"	"t15992aep"	0	0	0	0	0	0
"6660"	"t15993aep"	366	393	404	411	361	419
"6661"	"t15994aep"	3	2	1	4	5	5
"6662"	"t15995aep"	1678	2531.02	2340.01	1891	2125	2263.01
"6663"	"t15996aep"	696.02	1030	884	796.32	999.85	898
"6664"	"t15997aep"	0	0	0	0	0	0
"6665"	"t15998aep"	4	4	2	4	2	6
"6666"	"t15999aep"	360	415	410	409	438	464
"6667"	"t1599aep"	0	0	0	0	0	0
"6668"	"t159aep"	53	89	77	93	83	90
"6669"	"t15aep"	0	0	0	0	0	0
"6670"	"t16000aep"	3003.87	3753	3710.88	3593	3881.89	3881
"6671"	"t16001aep"	1	0	0	0	2	1
"6672"	"t16002aep"	77	133	114	79	116	109
"6673"	"t16003aep"	0	0	0	0	0	0
"6674"	"t16004aep"	1707	2438.18	2282.06	2024	2126.97	2333
"6675"	"t16005aep"	617.88	979.68	1018	713.94	933	909.91
"6676"	"t16006aep"	0	4.08	0	0	3.34	4.42
"6677"	"t16007aep"	888	1155	1039	1028	1086	1067.01
"6678"	"t16008aep"	1192.63	1643.98	1588.75	1402	1492.76	1524
"6679"	"t16009aep"	479.09	769.88	652	664	753.96	627.19
"6680"	"t1600aep"	0	0	0	0	0	0
"6681"	"t16010aep"	13	11	9	7	6	5
"6682"	"t16011aep"	11	15	16	18	14	10
"6683"	"t16012aep"	316	419	377	481	429	396
"6684"	"t16013aep"	0	1	0	1	1	0
"6685"	"t16014aep"	0	0	0	0	0	0
"6686"	"t16015aep"	1793.27	2152.67	2249.96	1827.84	2097.18	1973.96
"6687"	"t16016aep"	0	0	0	0	0	0
"6688"	"t16017aep"	0	0	0	0	0	0
"6689"	"t16018aep"	1510.07	1832	1900	1432.99	1402.59	1753.86
"6690"	"t16019aep"	862.94	1182	1169.99	1046	1117.17	1022.01
"6691"	"t1601aep"	0	0	0	0	0	0
"6692"	"t16020aep"	0	0	0	0	0	0
"6693"	"t16021aep"	671	852	823	782.03	892	836.85
"6694"	"t16022aep"	3	10	4	4	3.76	9
"6695"	"t16023aep"	0	0	0	0	0	0
