# Differential Gene Expression Count Matrix - Teefy et al. - PIWI-piRNA pathway-mediated Transposable Element Repression in Hydra Somatic Stem Cells
#----------------------------------------------------------------------------
# 
# abbreviations: 	ID = Transcript Identification
#					WT = Wild-type Hydra
#					KD = Somatic hywi Knockdown Hydra
#
# ID - transcript name, as assigned in Siebert et al., 2019
# WT1 - Counts from WT1 replicate
# WT2 - Counts from WT2 replicate
# WT3 - Counts from WT3 replicate
# KD1 - Counts from KD1 replicate
# KD2 - Counts from KD2 replicate
# KD3 - Counts from KD3 replicate
#
#----------------------------------------------------------------------------
#					
""	"ID"	"WT1"	"WT2"	"WT3"	"KD1"	"KD2"	"KD3"
"108"	"t10095aep"	0	0	0	0	0	0
"109"	"t10096aep"	325	540	430	418	465	447
"110"	"t10097aep"	0	0	0	0	0	0
"111"	"t10098aep"	0	0	0	0	0	0
"112"	"t10099aep"	477.99	704.21	627	583	722.01	654
"113"	"t1009aep"	214.35	311.46	349.12	295.84	299.83	323.88
"114"	"t100aep"	0	0	0	0	0	0
"115"	"t10100aep"	240	318	355	319.89	281	305
"116"	"t10101aep"	0	1	0	1.07	0	0
"117"	"t10102aep"	416.86	567	599	585.92	566.94	535.37
"118"	"t10103aep"	0	0	0	0	0	0
"119"	"t10104aep"	0	0	0	0	0	0
"120"	"t10105aep"	852	1248	1364	890	1196.56	1190.15
"121"	"t10106aep"	1	6	5	5	1	2
"122"	"t10107aep"	0	0	0	0	0	0
"123"	"t10108aep"	0	0	0	0	0	0
"124"	"t10109aep"	0	0	0	0	0	0
"125"	"t1010aep"	3.04	16.39	3.44	3.65	6.95	8.03
"126"	"t10110aep"	1	2	1	8	0	1
"127"	"t10111aep"	0	0	1	0	0	0
"128"	"t10112aep"	17.2	9	5.09	12	9.52	10
"129"	"t10113aep"	0	2	5	3	3	5
"130"	"t10114aep"	0	0	0	0	0	0
"131"	"t10115aep"	4	6	2	1	1	3
"132"	"t10116aep"	0	0	1	0	2	1
"133"	"t10117aep"	0	0	0	0	1	0
"134"	"t10118aep"	0	0	0	0	0	0
"135"	"t10119aep"	47	29	30	52	39	43
"136"	"t1011aep"	2	2.57	2	9.38	4.2	0.99
"137"	"t10120aep"	0	0	0	0	0	0
"138"	"t10121aep"	9	12.88	1.99	8.87	13.95	17
"139"	"t10122aep"	1	1	2	5	1	0
"140"	"t10123aep"	1.07	2	5	3	2	1
"141"	"t10124aep"	0	0	0	0	0	0
"142"	"t10125aep"	0	0	0	0	0	0
"143"	"t10126aep"	78	105	85	120	96	90
"144"	"t10127aep"	5	11	4	7	7	8
"145"	"t10128aep"	0	0	0	0	0	0
"146"	"t10129aep"	0	0	0	0	0	0
"147"	"t1012aep"	1.63	1.59	4.32	3.99	6.05	3.26
"148"	"t10130aep"	0	0	0	0	0	0
"149"	"t10131aep"	0	0	0	0	0	0
"150"	"t10132aep"	0	0	0	0	0	0
"151"	"t10133aep"	0	0	0	0	0	0
"152"	"t10134aep"	0	0	0	0	0	0
"153"	"t10135aep"	886	1034	951	1098.48	1004	1176.13
"154"	"t10136aep"	337	384	296.85	483	380	342
"155"	"t10137aep"	452	457	413	680.99	498.04	507.01
"156"	"t10138aep"	1016.77	1275	1142.83	1248	1182.01	1151
"157"	"t10139aep"	549	643	624.99	738	783.99	617
"158"	"t1013aep"	30.83	44.31	34.1	69.12	36.52	66.29
"159"	"t10140aep"	19	27	22	17	23	28
"160"	"t10141aep"	6	7	6	14	7	7
"161"	"t10142aep"	2	3	2	5	2	1
"162"	"t10143aep"	2458	2627.87	2183	3194.03	2447.08	3010.17
"163"	"t10144aep"	805.03	630	566	1097	693	655
"164"	"t10145aep"	2207.71	3227.86	3327.04	2528.99	2954.99	3137.97
"165"	"t10146aep"	4	1	1	6	4	5
"166"	"t10147aep"	2	3	0	4	2	0
"167"	"t10148aep"	0	2	1	1	1	0
"168"	"t10149aep"	267.99	314.82	308.16	276.4	322	251.82
"169"	"t1014aep"	38.83	56.39	35.03	64.23	53.2	58.92
"170"	"t10150aep"	0	0	0	0	0	0
"171"	"t10151aep"	3	6	0	6	3	9
"172"	"t10152aep"	10	17	14	27	35	14
"173"	"t10153aep"	3	1	1	5	6	2
"174"	"t10154aep"	2	2	5	4	5	4
"175"	"t10155aep"	6	0	2	3	1	7
"176"	"t10156aep"	0	0	0	0	0	0
"177"	"t10157aep"	0	0	0	0	0	0
"178"	"t10158aep"	0	0	0	0	0	0
"179"	"t10159aep"	91	92	71	120	111	82
"180"	"t1015aep"	6	6.27	1.33	6.83	2.07	6.31
"181"	"t10160aep"	0	0	0	0	0	0
"182"	"t10161aep"	9	3	10	14	8	10
"183"	"t10162aep"	0	0	0	0	0	0
"184"	"t10163aep"	0	0	0	0	0	0
"185"	"t10164aep"	7	7	4	9	6	7
"186"	"t10165aep"	1	1	0	1	2	0
"187"	"t10166aep"	0	0	0	0	0	0
"188"	"t10167aep"	7	5	2	5	3	1
"189"	"t10168aep"	0	1	1	0	1	2
"190"	"t10169aep"	0	0	0	0	0	0
"191"	"t1016aep"	45.5	21.99	21.95	42.44	29.44	36.99
"192"	"t10170aep"	1	4	0	3	0	3
"193"	"t10171aep"	15	15	11	34	32	18
"194"	"t10172aep"	3	5	0	2	3	5
"195"	"t10173aep"	0	0	0	0	0	0
"196"	"t10174aep"	1	2	1	1	1	0
"197"	"t10175aep"	0	0	0	0	0	0
"198"	"t10176aep"	0	0	0	0	0	0
"199"	"t10177aep"	0	0	0	0	0	0
"200"	"t10178aep"	3.99	1.95	2	7.78	1	3.83
"201"	"t10179aep"	0	0	0	0	0	0
"202"	"t1017aep"	22.16	12.03	18.25	25.92	18.61	24.67
"203"	"t10180aep"	0	0	0	0	0	0
"204"	"t10181aep"	7	0	2	9.84	6	2.99
"205"	"t10182aep"	0	0	0	0	0	0
"206"	"t10183aep"	0	1	0	0	0	1
"207"	"t10184aep"	0	0	0	0	0	0
"208"	"t10185aep"	0	0	0	0	0	0
"209"	"t10186aep"	0	0	0	0	0	0
"210"	"t10187aep"	755.01	987.36	890	989.76	975	1053
"211"	"t10188aep"	32.17	17	19	38	30	24
"212"	"t10189aep"	1351	1765.05	1960	1616	1595	1852
"213"	"t1018aep"	19.63	12.96	11.72	30.05	16.81	10.97
"214"	"t10190aep"	2103.79	1574.46	1386.01	2746.79	1465.09	1425.99
"215"	"t10191aep"	0	0	0	0	0	0
"216"	"t10192aep"	663.59	896.29	720.88	886.87	845.46	901.27
"217"	"t10193aep"	2448	2351	1545.98	3786.99	2479	2629
"218"	"t10194aep"	8454.85	11665.7	11299.28	9681.84	10995.59	10887.35
"219"	"t10195aep"	310.02	522	519.67	415.99	498.81	589.99
"220"	"t10196aep"	6	8.03	5	14	6	6.99
"221"	"t10197aep"	3975.91	2449	2387.01	4756.37	2513.01	3234.58
"222"	"t10198aep"	3.92	4.49	3	6.84	9.91	6.87
"223"	"t10199aep"	2934.76	3642.64	3843.38	3560.92	3580.32	3640.24
"224"	"t1019aep"	0	3	1	1.02	3	0
"225"	"t101aep"	0	0	0	0	0	0
"226"	"t10200aep"	724.82	968.42	916.11	1049.84	934.7	974.02
"227"	"t10201aep"	9211.65	11599.48	11550.1	10273.55	10674.19	11649.55
"228"	"t10202aep"	16855.56	23727.84	22443.66	18502.13	22269.63	20793.1
"229"	"t10203aep"	491	803	662	607	676	660
"230"	"t10204aep"	7896.79	11554.61	8425.4	10551.55	10243.75	11389.46
"231"	"t10205aep"	185	188	151	270	190.02	178
"232"	"t10206aep"	0	0	0	0	0	0
"233"	"t10207aep"	620	831	820.97	921	896.95	793
"234"	"t10208aep"	1600	2142.64	2175	1922.25	2062	2007
"235"	"t10209aep"	0	0	0	0	0	0
"236"	"t1020aep"	9.6	16.4	16.11	19.85	14.46	18.29
"237"	"t10210aep"	3	0	3	4	6	9
"238"	"t10211aep"	11	5	5	6	4	5
"239"	"t10212aep"	3	10	4	7	2	4
"240"	"t10213aep"	0	0	0	0	0	0
"241"	"t10214aep"	821	869.02	711	1284.44	1005	925.99
"242"	"t10215aep"	3	4	3	7	4	7
"243"	"t10216aep"	2	2	3	4	5	4
"244"	"t10217aep"	0	0	0	0	0	0
"245"	"t10218aep"	2	7	5	5	5	5
"246"	"t10219aep"	51	34	31	64	43	47
"247"	"t1021aep"	15.08	23.07	20.85	24.3	23.77	16.32
"248"	"t10220aep"	204	261	243.96	351.96	268	282
"249"	"t10221aep"	282	312	319	420.73	344.24	345
"250"	"t10222aep"	38118.67	17975.71	19299.65	40078.78	18200.7	35644.25
"251"	"t10223aep"	4836.02	7058.17	7531.16	4884.15	6836.6	6503.97
"252"	"t10224aep"	759	1107.9	1291	887.97	1098.09	1152.54
"253"	"t10225aep"	0	0	0	0	0	0
"254"	"t10226aep"	0.99	0	0	0	0	0
"255"	"t10227aep"	2403.63	2103	1470.87	3216	2000	2565
"256"	"t10228aep"	152	192.01	196	182	208	194.02
"257"	"t10229aep"	247	357	282.01	272	315	288
"258"	"t1022aep"	10.75	12.02	14.35	22.06	13.94	18.68
"259"	"t10230aep"	0	0	0	0	0	0
"260"	"t10231aep"	9	5	6	6	0	12
"261"	"t10232aep"	708.79	1090.15	905	1087.49	1010.01	1069.01
"262"	"t10233aep"	0	0	0	0	0	0
"263"	"t10234aep"	0	0	0	0	0	0
"264"	"t10235aep"	0	0	0	0	0	0
"265"	"t10236aep"	49	71	78	60	71	92
"266"	"t10237aep"	415.98	592.93	615	478.9	553	527
"267"	"t10238aep"	0	0	0	0	0	0
"268"	"t10239aep"	0	0	0	0	0	0
"269"	"t1023aep"	3.14	6.45	2.36	7.19	1.02	4.35
"270"	"t10240aep"	0	0	0	0	0	0
"271"	"t10241aep"	307	373	341	370.54	349.89	391
"272"	"t10242aep"	7	7	4	7	1.99	4.48
"273"	"t10243aep"	0	0	0	0	0	0
"274"	"t10244aep"	63	70	71	86	63	84.11
"275"	"t10245aep"	853.71	1164.85	1444.17	922.28	1359.47	1169.83
"276"	"t10246aep"	2116.8	2591.02	1695.3	2230.33	2102.03	2480.19
"277"	"t10247aep"	2631	3814.99	3467	3220.96	3621	3543
"278"	"t10248aep"	0	0	0	0	0	0.99
"279"	"t10249aep"	182	256	266.99	225.15	247	253
"280"	"t1024aep"	18.8	33.57	18.82	25.1	23.12	35.29
"281"	"t10250aep"	1288.65	1630.99	1406	1695.68	1574.03	1869
"282"	"t10251aep"	0	0	0	0	0	0
"283"	"t10252aep"	0	0	0	0	0	0
"284"	"t10253aep"	547	586	448	939.06	668.05	656.06
"285"	"t10254aep"	3	13	4	3	9	10
"286"	"t10255aep"	2	2	1	8	9	6
"287"	"t10256aep"	3703.99	4742.73	4696.87	3973.61	4168.46	4299.49
"288"	"t10257aep"	0	0	0	0	0	0
